CNPq_Id,Akey
193,José Palazzo M. de Oliveira
177,João Eduardo Ferreira
180,João Paulo A. Almeida
181,Joao Paulo Gois
195,Judith Kelner
196,Jugurta Montalvão
196,Jugurta R. Montalvão Filho
198,Julio Cesar Sampaio do Prado Leite
197,Julio López
197,Julio C. López
197,Julio López Hernandez
197,Julio López-Hernández
199,Julius C. B. Leite
200,Junior Barrera
201,Jussara M. Almeida
201,Jussara Marques de Almeida
201,Jussara Almeida
202,Karin Koogan Breitman
202,Karin Breitman
203,Kelvin Lopes Dias
203,Kelvin L. Dias
204,Lau Cheuk Lung
205,Leandro Nunes de Castro
205,Leandro N. de Castro
206,Leila Ribeiro
207,Leizer L. Pinto
207,Leizer Lima Pinto
207,Leizer de Lima Pinto
208,Leliane Nunes de Barros
208,Leliane N. de Barros
208,Leliane N. De Barros
209,Leonardo Gresta Paulino Murta
209,Leonardo Murta
209,Leonardo Gresta P. Murta
210,Lisandro Zambenedetti Granville
211,Loana Tito Nogueira
212,Luci Pirmez
213,Lucia Catabriga
215,Luciana Porcher Nedel
216,Luciana S. Buriol
216,Luciana Salete Buriol
217,Luciano A. Digiampietri
217,Luciano Antonio Digiampietri
219,Luciano Paschoal Gaspary
220,Luciano Silva
218,Luciano da Fontoura Costa
218,Luciano da F. Costa
221,Luerbio Faria
221,Luérbio Faria
222,Luidi Simonetti
223,Luigi Carro
224,Luís Alfredo V. de Carvalho
224,Luís Alfredo Vidal de Carvalho
226,Luis E. Zárate
226,Luis Henrique Zarate
227,Luis Gustavo Nonato
228,Luís Henrique Maciel Kosmalski Costa
229,
230,Luiz Carlos Pessoa Albini
231,Luiz Chaimowicz
232,Luiz E. Soares de Oliveira
232,Luiz Eduardo Soares de Oliveira
233,Luiz Fernando Gomes Soares
234,Luiz F. Rust da Costa Carmo
234,Luiz F. R. C. Carmo
235,Luiz Filipe M. Vieira
235,Luiz Filipe Menezes Vieira
236,Luiz Henrique A. Correia
237,Luiz M. G. Gonçalves
237,Luiz Marcos Garcia Gonçalves
237,Luiz Marcos Gonçalves
238,Luiz Satoru Ochi
238,Luiz S. Ochi
239,Luiza de Macedo Mourelle
225,Luís C. Lamb
225,Luís da Cunha Lamb
214,Lúcia Maria de A. Drummond
240,Manoel B. Campêlo
240,Manoel B. Campelo Neto
241,Manuel M. Oliveira
241,Manuel Oliveira
241,Manuel Menezes de Oliveira Neto
242,Marcela Xavier Ribeiro
243,Marcelo d'Amorim
244,Marcelo Siqueira
244,Marcelo F. Siqueira
245,Marcelo Finger
246,Marcelo H. de Carvalho
246,Marcelo Henriques de Carvalho
247,Marcelo Soares Pimenta
247,Marcelo Pimenta
248,Marcelo Walter
250,Marcílio Carlos Pereira de Souto
250,Marcilio C. P. de Souto
250,Marcilio C. P. Souto
253,Marco A. Casanova
253,Marco Antonio Casanova
254,Marco Cristo
254,Marco Antônio Pinheiro de Cristo
255,Marco Aurélio Gerosa
256,Marco Aurélio Spohn
257,Marco Tulio Valente
257,Marco Tulio de Oliveira Valente
258,Marcos André Gonçalves
259,Marcos A. Simplício Jr.
260,Marcos Augusto M. Vieira
261,Marcos G. Quiles
261,Marcos Gonçalves Quiles
262,Marcos R. S. Borges
262,Marcos Roberto da Silva Borges
263,Marcus Ritt
264,Marcus Poggi de Aragão
264,Marcus Poggi
265,Maria Cláudia Cavalcanti
265,Maria Cláudia Reis Cavalcanti
266,Maria Cristina Ferreira de Oliveira
269,Maria Emilia Telles Walter
269,Maria Emilia M. T. Walter
267,Maria da Graça Campos Pimentel
268,Maria do Carmo Nicoletti
271,Mario R. F. Benevides
272,Marley B. R. Vellasco
272,Marley Maria Bernardes Rebuzzi Vellasco
272,Marley M. M. R. Vellasco
273,Marta Mattoso
273,Marta L. Queiros Mattoso
274,Martin A. Musicante
274,Martín Musicante
275,Mauricio Ayala-Rincón
277,
278,Mauro Fonseca
278,Mauro Sergio Pereira Fonseca
276,Maurício F. Magalhães
276,Maurício Ferreira Magalhães
279,Miguel Elias M. Campista
279,Miguel Elias Mitre Campista
280,Mirella M. Moro
280,Mirella Moura Moro
281,Mylène Christine Queiroz de Farias
281,Mylène C. Q. Farias
281,Mylène Farias
282,Myriam Regattieri Delgado
282,Myriam Regattieri de Biase da Silva Delgado
249,Márcia R. Cerioli
252,Márcio P. Basgalupp
252,Márcio Porto Basgalupp
251,Márcio de Oliveira Barros
270,Mario Fernando Montenegro Campos
283,Nabor C. Mendonça
283,Nabor Chagas Mendonça
283,Nabor das Chagas Mendonça
283,Nabor C. Mendonca
284,Nadia Nedjah
285,Nalvo F. Almeida
285,Nalvo F. de Almeida Jr.
285,Nalvo F. Almeida Jr.
286,Nelson D. A. Mascarenhas
286,Nelson D. d'Avilla Mascarenhaus
287,Nelson L. S. da Fonseca
287,Nelson L. S. Da Fonseca
287,Nelson Luis Saldanha da Fonseca
287,Nelson Fonseca
288,Nelson Maculan
289,Nina S. T. Hirata
289,Nina S. Tomita
289,Nina Sumiko Tomita Hirata
290,Nivio Ziviani
291,Odemir Martinez Bruno
291,Odemir M. Bruno
292,Olga Regina Pereira Bellon
293,Orlando Loques
293,Orlando G. Loques Filho
294,Orlando Lee
295,Otávio Augusto S. Carpinteiro
296,Paulo A. V. Miranda
296,Paulo A. V. de Miranda
296,Paulo André Vechiatto Miranda
297,Paulo A. S. Veloso
298,Paulo Cesar Masiero
298,Paulo César Masiero
299,
300,Paulo E. Santos
300,Paulo Eduardo Santos
301,Paulo Henrique Lemelle Fernandes
302,Paulo Borba
302,Paulo Henrique Monteiro Borba
303,Paulo Martins Engel
303,Paulo M. Engel
305,Paulo Oliveira
305,Paulo Roberto Oliveira
306,Paulo Romero Martins Maciel
307,Paulo S. L. M. Barreto
307,Paulo Sérgio Licciardi Messeder Barreto
308,Paulo Sérgio Sausen
309,Philippe Olivier Alexandre Navaux
310,Rafael Dueire Lins
311,Rafael H. Bordini
312,Rafael Prikladnicki
313,Raphael C. S. Machado
313,Raphael Carlos Santos Machado
314,Raquel A. F. Mini
315,Raquel Cardoso de Melo Minardi
315,Raquel C. de Melo
315,Raquel C. Melo
316,Regina Borges de Araujo
316,Regina Araújo
317,Regivan H. Nunes Santiago
317,Regivan H. N. Santiago
317,Regivan Hugo Nunes Santiago
318,Renata de Matos Galante
318,Renata Galante
319,Renata Hax Sander Reiser
319,Renata Reiser
320,Renata M. C. R. de Souza
320,Renata Maria Cardoso R. de Souza
320,Renata M. C. R. Souza
321,Renata P. de Freitas
321,Renata de Freitas
322,Renata Vieira
323,Renata Wassermann
324,Renato Ferreira
324,Renato Antônio Celso Ferreira
324,Renato C. Ferreira
324,Renato Cesar Ferreira de Souza
325,Renato A. Krohling
326,Renato M. de Moraes
326,Renato Mariz de Moraes
327,Renato Portugal
328,Renato Tinós
329,Ricardo Moraes
331,Ricardo Dahab
332,Ricardo C. Farias
333,Ricardo Marroquim
333,Ricardo Guerra Marroquim
334,Ricardo M. A. Silva
334,Ricardo Martins Abreu e Silva
334,Ricardo Martins de Abreu Silva
335,Ricardo Massa Ferreira Lima
330,Ricardo da Silva Torres
336,Roberto Hirata Jr.
336,Roberto Hirata
337,Roberto Marcondes Cesar Junior
337,Roberto Marcondes Cesar Jr.
337,Roberto M. Cesar Jr.
338,Rodolfo Azevedo
338,Rodolfo Jardim de Azevedo
339,Rodrigo Fernandes de Mello
340,Rohit Gheyi
342,Ronaldo Fumio Hashimoto
342,Ronaldo Hashimoto
343,Ronaldo M. Salles
343,Ronaldo Moreira Salles
344,Rosa Maria Meri Leão
344,Rosa M. M. Leão
345,Rosa Maria Vicari
345,Rosa Vicari
345,Rosa Maria Viccari
346,Rosane Minghim
347,Roseli A. Francelin Romero
347,Roseli A. F. Romero
347,Roseli Romero
347,Roseli Aparecida Francelin Romero
347,Roseli Ap. Romero
348,Roseli S. Wedemann
349,Rudinei Goularte
350,Rudini Menezes Sampaio
350,Rudini M. Sampaio
351,Ruy Luiz Milidiú
351,Ruy Milidiu
341,Rômulo Silva de Oliveira
352,Sandra de Amo
353,Sandro Rigo
353,Sandro José Rigo
354,Sebastián Urrutia
355,Sérgio Soares
355,Sérgio C. B. Soares
356,Sheila R. M. Veloso
357,Siang W. Song
357,Siang Wun Song
358,Silvia Regina Vergilio
359,Silvio do Lago Pereira
360,Simone Dantas
361,Simone Diniz Junqueira Barbosa
361,Simone D. J. Barbosa
362,Siome Goldenstein
362,Siome Klein Goldenstein
363,Soraia Raupp Musse
364,Stenio F. L. Fernandes
364,Stenio Fernandes
364,Stenio Flavio Fernandes
365,Sulamita Klein
366,Susana Scheimberg
367,Teresa Bernarda Ludermir
368,Thaís Vasconcelos Batista
368,Thais Batista
369,Thiago F. Noronha
369,Thiago Ferreira Noronha
370,Tiago A. E. Ferreira
370,Tiago Alessandro Espínola Ferreira
371,Uirá Kulesza
372,Valmir C. Barbosa
373,Vanessa P. Braganholo
373,Vanessa Braganholo
