,Name,GS_Name,CNPqLevel,Begin,End,University,GS_Name,GS_Link,GS_H5,GS_Cits,GS_H5_2010,GS_Cits_2010
51,Aurora Trinidad Ramirez Pozo,,2,01/03/13,29/02/2016,UFPR,,,,,,
52,Benjamín René Callejas Bedregal,Benjamin Bedregal,1D,01/03/13,28/02/2017,UFRN,Benjamin Bedregal,/citations?user=wsiQRwMAAAAJ&hl=pt-BR,17.0,1197.0,16.0,945.0
53,Bruno Feijo,,1C,01/03/14,28/02/2018,PUC-Rio,,,,,,
54,Bruno Motta de Carvalho,Bruno Motta de Carvalho,2,01/03/13,29/02/2016,UFRN,Bruno Motta de Carvalho,/citations?user=Bgvt9KYAAAAJ&hl=pt-BR,10.0,589.0,6.0,218.0
55,Bruno Richard Schulze,,1D,01/03/14,28/02/2018,LNCC,,,,,,
56,Caetano Traina Junior,Caetano Traina Jnior,1B,01/03/14,28/02/2018,USP,Caetano Traina Jnior,/citations?user=h2ivd3AAAAAJ&hl=pt-BR,26.0,2862.0,19.0,1516.0
57,Carina Friedrich Dorneles,Carina F. Dorneles,2,01/03/14,28/02/2017,UFSC,Carina F. Dorneles,/citations?user=yERABKUAAAAJ&hl=pt-BR,9.0,197.0,7.0,123.0
58,Carla Maria Dal Sasso Freitas,,1C,01/03/12,29/02/2016,UFRGS,,,,,,
59,Carlile Campos Lavor,Carlile Lavor,1D,01/03/11,28/02/2015,UNICAMP,Carlile Lavor,/citations?user=xu3AWpAAAAAJ&hl=pt-BR,22.0,1245.0,17.0,985.0
60,Carlos Alberto de Jesus Martinhon,Carlos Alberto Martinhon,2,01/03/13,29/02/2016,UFF,Carlos Alberto Martinhon,/citations?user=343VizIAAAAJ&hl=pt-BR,8.0,196.0,6.0,103.0
61,Carlos Alberto Kamienski,Carlos Alberto Kamienski,2,01/03/12,28/02/2015,UFABC,Carlos Alberto Kamienski,/citations?user=Imk4BSEAAAAJ&hl=pt-BR,12.0,671.0,8.0,427.0
62,Carlos Becker Westphall,Carlos Becker Westphall,1C,01/03/14,28/02/2018,UFSC,Carlos Becker Westphall,/citations?user=ah0TWZIAAAAJ&hl=pt-BR,14.0,1201.0,10.0,739.0
63,Carlos Eduardo Ferreira,Carlos Eduardo Ferreira Monteiro,1D,01/03/11,28/02/2015,USP,Carlos Eduardo Ferreira Monteiro,/citations?user=GCUfT5QAAAAJ&hl=pt-BR,8.0,200.0,6.0,136.0
64,Carlos Eduardo Pereira,Carlos Eduardo Pereira,1B,01/08/13,29/02/2016,UFRGS,Carlos Eduardo Pereira,/citations?user=ZjSjAW0AAAAJ&hl=pt-BR,19.0,2160.0,15.0,1311.0
65,Carlos Eduardo Thomaz,Carlos Eduardo Thomaz,2,01/03/12,28/02/2015,FEI,Carlos Eduardo Thomaz,/citations?user=WqYenKoAAAAJ&hl=pt-BR,15.0,755.0,12.0,503.0
66,Carlos Henrique Costa Ribeiro,Carlos H. C. Ribeiro,2,01/03/14,28/02/2017,ITA,Carlos H. C. Ribeiro,/citations?user=oP3egAoAAAAJ&hl=pt-BR,11.0,532.0,9.0,295.0
67,Carlos José Pereira de Lucena,Carlos Jos Pereira de Lucena,1A,01/03/10,28/02/2015,PUC-Rio,Carlos Jos Pereira de Lucena,/citations?user=BCW5XGIAAAAJ&hl=pt-BR,38.0,6524.0,23.0,2417.0
68,Cecília Mary Fischer Rubira,,1D,01/03/14,28/02/2018,UNICAMP,,,,,,
